,nounFrame,Freq,label,비고
891,급등락,102,-,
892,내기,102,,
893,브리핑,102,,
894,소문,102,,
895,열기,102,-,
896,와중,102,,
897,외환,102,,
898,요구,102,,
899,원칙,102,,
900,의심,102,neg,
901,조직,102,,
902,좌파,102,,
903,특징,102,,
904,팩트,102,,
905,허상,102,neg,
906,회장,102,,
907,휴지,102,,
908,가면,101,,
909,권력,101,,
910,대세,101,pos,
911,로버트,101,,"로버트실러, 로버트쉴러"
912,신분,101,,
913,욕망,101,-,
914,지급,101,,
915,쪽박,101,neg,
916,한남,101,,
917,구멍,100,,
918,단체,100,,
919,모델,100,,
920,바람,100,,
921,요약,100,,
922,이론,100,,
923,정의,100,,
924,파일,100,,
925,경험,99,,
926,낙폭,99,neg,
927,몸값,99,,
928,법정,99,,
929,본질,99,,
930,영어,99,,
931,증거,99,,
932,차단,99,neg,
933,활동,99,,
934,활용,99,pos,
935,각종,98,,
936,비코,98,,
937,사세,98,,
938,성장,98,pos,
939,숫자,98,,
940,얼굴,98,,
941,코어,98,,
942,투기가,98,neg,
943,트럼프,98,,
944,하기,98,,
945,한탕,98,neg,
946,갑부,97,,
947,공포,97,neg,
948,소설,97,,
949,아들,97,,
950,아이돌,97,,
951,집회,97,,
952,페이,97,,
953,폭발,97,,
954,과학,96,,
955,금이,96,,
956,네덜란드,96,,
957,다운,96,,
958,메인,96,,
959,상속,96,,
960,선택,96,,
961,스티글리츠,96,,
962,억만장자,96,,
963,여행,96,,
964,연금,96,,
965,운명,96,,
966,지구,96,,
967,체크,96,,
968,합리,96,,
969,가상증표,95,,
970,내역,95,,
971,부탁,95,,
972,사랑,95,,
973,새해,95,,
974,의문사,95,,
975,출신,95,,
976,현지,95,,
977,회원,95,,
978,담당자,94,,
979,버린,94,,
980,악성,94,,
981,언니,94,,
982,유통,94,,
983,자원,94,,
984,접속,94,,
985,정작,94,,
986,지옥,94,,
987,프리미엄,94,neg,
988,근본,93,,
989,대로,93,,
990,문제점,93,neg,
991,박상기,93,,
992,신문,93,,
993,절반,93,,
994,태국,93,,
995,헤지펀드,93,,
996,가운데,92,,
997,감독,92,,
998,독점,92,neg,
999,마련,92,,
1000,물량,92,,
1001,보통,92,,
1002,소비,92,,
1003,아시아,92,,
1004,자동,92,,
1005,차원,92,,
1006,호구,92,neg,
1007,호주,92,,
1008,경쟁,91,,
1009,법안,91,,
1010,토토,91,neg,
1011,대가,90,,
1012,법무,90,,
1013,우울증,90,neg,
1014,장점,90,pos,
1015,적극,90,,
1016,주위,90,,
1017,짜증,90,neg,
1018,코리아,90,,
1019,탄생,90,,
1020,트론,90,,
1021,공매도,89,-,
1022,승인,89,,미승인
1023,실험,89,,
1024,중인,89,,
1025,처벌,89,neg,
1026,촛불,89,,
1027,거액,88,,
1028,고수,88,,
1029,노래방,88,,
1030,동네,88,,
1031,실수,88,neg,
1032,조각,88,,
1033,지적,88,neg,
1034,최종구,88,,
1035,한참,88,,
1036,협회,88,,
1037,효과,88,,
1038,공급,87,-,
1039,구입,87,-,
1040,나이,87,,
1041,부작용,87,neg,
1042,이미지,87,,
1043,작업,87,,
1044,재벌,87,,
1045,진출,87,pos,
1046,채굴자,87,,
1047,특강,87,,
1048,포럼,87,,
1049,감자,86,,
1050,김동연,86,,
